# n actual freq dirichlet
200 0.6666663488 0.6838043389 0.6842780573
500 0.6666663488 0.6580576701 0.6582211207
1000 0.6666663488 0.687312439 0.6874060478
2000 0.6666663488 0.6716077125 0.6716508405
4000 0.6666663488 0.6657486784 0.6657694228
6000 0.6666663488 0.6758151542 0.6758298225
8000 0.6666663488 0.6695524658 0.6695630278
10000 0.6666663488 0.6671015975 0.6671099894
