# n actual freq0.1 freq-coupled dirichlet
50 0.00032 0.0001751419789   0.002562886935  0.001626422546
100 0.00032 0.0001530055401  0.002545890357  0.001479947118
200 0.00032 0.0005797557468  0.002341610796  0.001042778127
500 0.00032 3.501938992e-05  0.0007012581247 0.0003214366518
1000 0.00032 9.521962233e-05 0.0009800651418 0.0005289436969
2000 0.00032 0.0009641438363 0.003798744712  0.0009218763632
4000 0.00032 0.0007826055172 0.0007540244086 0.0008161905542
6000 0.00032 0.0005100004461 0.0004268376101 0.0005590327319
8000 0.00032 0.000418588536  0.0005561052009 0.0004547874002
