# n actual freq dirichlet
200 0.5833333333 0.5966444444 0.5968809985
500 0.5833333333 0.5830356671 0.5831208192
1000 0.5833333333 0.6039834983 0.6040396354
2000 0.5833333333 0.5918613147 0.5918846839
4000 0.5833333333 0.5889179788 0.5889294233
6000 0.5833333333 0.58647221 0.5864794105
8000 0.5833333333 0.5876980703 0.5877036242
10000 0.5833333333 0.5854657244 0.5854700873
