# n actual freq dirichlet
50 0.25 0.216 0.2144616467
100 0.25 0.2516129032 0.2515731081
200 0.25 0.2625 0.2625628141
500 0.25 0.2586843658 0.2586904578
1000 0.25 0.2606178624 0.2606282969
2000 0.25 0.252228833 0.252230791
4000 0.25 0.2467808349 0.2467799704
6000 0.25 0.2498328318 0.2498328666
8000 0.25 0.2499574267 0.2499574665
10000 0.25 0.2484302948 0.2484300781
