# n actual freq dirichlet
26640 0.1666666269 0.1658055198 0.1656711064
27000 0.1666666269 0.1658055198 0.1656458322
27360 0.1666666269 0.1658055198 0.1656128504
27720 0.1666666269 0.1658055198 0.165579272
28080 0.1666666269 0.1658055198 0.1655451742
28440 0.1666666269 0.1658055198 0.1655282566
28800 0.1666666269 0.1658055198 0.1655169621
29160 0.1666666269 0.1658055198 0.1655050237
29520 0.1666666269 0.1658055198 0.1654875868
29880 0.1666666269 0.1658055198 0.1654778387
30240 0.1666666269 0.1658055198 0.165466669
30600 0.1666666269 0.1658055198 0.1654587571
30960 0.1666666269 0.1658055198 0.165453143
31320 0.1666666269 0.1658055198 0.1654474932
31680 0.1666666269 0.1658055198 0.1654418144
32040 0.1666666269 0.1658055198 0.1654381992
32400 0.1666666269 0.1658055198 0.165433795
32760 0.1666666269 0.1658055198 0.1654319828
33120 0.1666666269 0.1658055198 0.1654325985
33480 0.1666666269 0.1658055198 0.1654297533
33840 0.1666666269 0.1658055198 0.1654323987
34200 0.1666666269 0.1658055198 0.1654371394
34560 0.1666666269 0.1658055198 0.1654396565
34920 0.1666666269 0.1658055198 0.1654418412
35280 0.1666666269 0.1658055198 0.1654408411
35640 0.1666666269 0.1658055198 0.165436846
36000 0.1666666269 0.1658055198 0.1654234158
36360 0.1666666269 0.1658055198 0.1654092188
36720 0.1666666269 0.1658055198 0.1653948378
37080 0.1666666269 0.1658055198 0.165378731
37440 0.1666666269 0.1658055198 0.1653615152
37800 0.1666666269 0.1658055198 0.1653412598
38160 0.1666666269 0.1658055198 0.1653156885
38520 0.1666666269 0.1658055198 0.1652894457
38880 0.1666666269 0.1658055198 0.1652616349
39240 0.1666666269 0.1658055198 0.1652323549
39600 0.1666666269 0.1658055198 0.1652085424
39960 0.1666666269 0.1658055198 0.1651854376
40320 0.1666666269 0.1658055198 0.1651682962
40680 0.1666666269 0.1658055198 0.165150761
41040 0.1666666269 0.1658055198 0.1651311606
41400 0.1666666269 0.1658055198 0.1651100273
41760 0.1666666269 0.1658055198 0.165091553
42120 0.1666666269 0.1658055198 0.1650832783
42480 0.1666666269 0.1658055198 0.1650783492
42840 0.1666666269 0.1658055198 0.1650781624
43200 0.1666666269 0.1658055198 0.1650782645
43560 0.1666666269 0.1658055198 0.1650793961
43920 0.1666666269 0.1658055198 0.1650777945
44280 0.1666666269 0.1658055198 0.1650812618
44640 0.1666666269 0.1658055198 0.165085602
45000 0.1666666269 0.1658055198 0.1650900645
45360 0.1666666269 0.1658055198 0.1650911609
45720 0.1666666269 0.1658055198 0.1650907606
46080 0.1666666269 0.1658055198 0.1650953431
46440 0.1666666269 0.1658055198 0.1651013566
46800 0.1666666269 0.1658055198 0.1651084069
47160 0.1666666269 0.1658055198 0.1651125788
47520 0.1666666269 0.1658055198 0.1651146345
47880 0.1666666269 0.1658055198 0.1651184182
48240 0.1666666269 0.1658055198 0.1651223127
48600 0.1666666269 0.1658055198 0.1651223674
48960 0.1666666269 0.1658055198 0.165125028
49320 0.1666666269 0.1658055198 0.165125172
49680 0.1666666269 0.1658055198 0.165127554
50040 0.1666666269 0.1658055198 0.1651289289
50400 0.1666666269 0.1658055198 0.1651282102
50760 0.1666666269 0.1658055198 0.1651271551
51120 0.1666666269 0.1658055198 0.1651224861
51480 0.1666666269 0.1658055198 0.1651176002
51840 0.1666666269 0.1658055198 0.1651101067
52200 0.1666666269 0.1658055198 0.1651048507
52560 0.1666666269 0.1658055198 0.1650994069
52920 0.1666666269 0.1658055198 0.1650940404
53280 0.1666666269 0.1658055198 0.1650902653
53640 0.1666666269 0.1658055198 0.1650842807
54000 0.1666666269 0.1658055198 0.1650788807
54360 0.1666666269 0.1658055198 0.1650740438
54720 0.1666666269 0.1658055198 0.1650697494
55080 0.1666666269 0.1658055198 0.1650659775
55440 0.1666666269 0.1658055198 0.1650610754
55800 0.1666666269 0.1658055198 0.1650583129
56160 0.1666666269 0.1658055198 0.1650557898
56520 0.1666666269 0.1658055198 0.1650548451
56880 0.1666666269 0.1658055198 0.1650551982
57240 0.1666666269 0.1658055198 0.1650570195
57600 0.1666666269 0.1658055198 0.1650600379
57960 0.1666666269 0.1658055198 0.1650633545
58320 0.1666666269 0.1658055198 0.1650656917
58680 0.1666666269 0.1658055198 0.1650689601
59040 0.1666666269 0.1658055198 0.1650710667
59400 0.1666666269 0.1658055198 0.1650734765
59760 0.1666666269 0.1658055198 0.1650755753
60120 0.1666666269 0.1658055198 0.1650779693
60480 0.1666666269 0.1658055198 0.1650782931
60840 0.1666666269 0.1658055198 0.1650787522
61200 0.1666666269 0.1658055198 0.1650787668
61560 0.1666666269 0.1658055198 0.1650798677
61920 0.1666666269 0.1658055198 0.1650793961
62280 0.1666666269 0.1658055198 0.1650794417
62640 0.1666666269 0.1658055198 0.165079804
63000 0.1666666269 0.1658055198 0.1650840896
63360 0.1666666269 0.1658055198 0.165086264
63720 0.1666666269 0.1658055198 0.1650874586
64080 0.1666666269 0.1658055198 0.1650885801
64440 0.1666666269 0.1658055198 0.1650873828
64800 0.1666666269 0.1658055198 0.1650878762
65160 0.1666666269 0.1658055198 0.165088652
65520 0.1666666269 0.1658055198 0.1650895335
65880 0.1666666269 0.1658055198 0.1650901863
66240 0.1666666269 0.1658055198 0.1650914358
66600 0.1666666269 0.1658055198 0.1650918057
66960 0.1666666269 0.1658055198 0.1650927655
67320 0.1666666269 0.1658055198 0.1650935039
67680 0.1666666269 0.1658055198 0.1650930871
68040 0.1666666269 0.1658055198 0.1650926374
68400 0.1666666269 0.1658055198 0.1650920025
68760 0.1666666269 0.1658055198 0.1650925553
69120 0.1666666269 0.1658055198 0.1650935073
69480 0.1666666269 0.1658055198 0.1650948462
69840 0.1666666269 0.1658055198 0.1650959708
70200 0.1666666269 0.1658055198 0.1650998026
70560 0.1666666269 0.1658055198 0.1651045277
70920 0.1666666269 0.1658055198 0.1651108325
71280 0.1666666269 0.1658055198 0.1651159824
71640 0.1666666269 0.1658055198 0.1651230903
72000 0.1666666269 0.1658055198 0.1651302957
